star_type,heat,predicted_heat,error,abs_error,pct_error
A8,43.9,42.43320603112622,-1.4667939688737803,1.4667939688737803,3.341216330008611
A8,34.7,33.91637116992093,-0.7836288300790741,0.7836288300790741,2.258296340285516
A8,29.8,29.25556222137048,-0.544437778629522,0.544437778629522,1.8269724115084631
A8,22.1,21.49637481974728,-0.6036251802527275,0.6036251802527275,2.7313356572521603
A7,88.7,87.26285865428734,-1.4371413457126607,1.4371413457126607,1.6202269962938678
A7,81.2,79.77516643316063,-1.424833566839368,1.424833566839368,1.7547211414277928
A7,74.1,73.17718010965855,-0.9228198903414436,0.9228198903414436,1.2453709721207067
A7,44.6,47.30272721224095,2.702727212240952,2.702727212240952,6.059926484845183
A7,24.4,27.327129647230446,2.927129647230448,2.927129647230448,11.996432980452658
A7,6.7,6.151777486243459,-0.5482225137565413,0.5482225137565413,8.18242557845584
F1,91.3,89.66942989412398,-1.6305701058760178,1.6305701058760178,1.785947542032878
F1,82.9,80.77663144432289,-2.123368555677118,2.123368555677118,2.561361345810757
F1,53.4,54.02066119376572,0.62066119376572,0.62066119376572,1.1622868797110864
F1,14.0,14.545706118669276,0.5457061186692762,0.5457061186692762,3.897900847637687
F9,78.7,77.07382683127135,-1.6261731687286556,1.6261731687286556,2.0662937340897782
F9,72.8,71.65829294709359,-1.141707052906412,1.141707052906412,1.568278918827489
F9,56.5,57.27043874582901,0.7704387458290114,0.7704387458290114,1.3636083996973654
F9,35.3,38.12773133667634,2.827731336676344,2.827731336676344,8.0105703588565
F9,14.1,14.941093792477144,0.8410937924771442,0.8410937924771442,5.965204201965562
F9,3.7,2.637651063227361,-1.062348936772639,1.062348936772639,28.71213342628754
F3,33.1,35.75281743776428,2.652817437764277,2.652817437764277,8.01455419264132
F3,65.7,65.16253617926613,-0.5374638207338762,0.5374638207338762,0.8180575658049866
F6,83.7,80.9724352106346,-2.7275647893654025,2.7275647893654025,3.258739294343372
F6,69.3,67.0341554125593,-2.2658445874406965,2.2658445874406965,3.2696170092939347
F6,53.1,52.71616189930492,-0.3838381006950797,0.3838381006950797,0.7228589466950653
F6,41.1,41.95489551859469,0.854895518594688,0.854895518594688,2.080037758137927
F6,27.7,28.956547540602514,1.256547540602515,1.256547540602515,4.536272709756372
F6,11.5,10.984437085163254,-0.515562914836746,0.515562914836746,4.483155781189096
A9,60.9,58.26778980259297,-2.6322101974070264,2.6322101974070264,4.322184232195446
A9,17.1,16.56913289781516,-0.5308671021848426,0.5308671021848426,3.1044859776891376
A7,91.7,90.67149430526824,-1.0285056947317486,1.0285056947317486,1.1215983584860942
A7,83.1,82.0183682566459,-1.0816317433540945,1.0816317433540945,1.3016025792468044
A7,65.7,66.41954439840246,0.7195443984024621,0.7195443984024621,1.095196953428405
A7,43.8,47.38320757506638,3.583207575066382,3.583207575066382,8.180839212480324
A7,23.6,27.127329125815,3.527329125814997,3.527329125814997,14.946309855148291
K7,82.7,82.2655599684607,-0.434440031539296,0.434440031539296,0.5253204734453397
F5,77.2,74.65902958160834,-2.540970418391666,2.540970418391666,3.291412459056562
F5,32.4,33.97990020805854,1.5799002080585396,1.5799002080585396,4.876235210057221
M7,27.6,22.96907017530108,-4.630929824698928,4.630929824698928,16.77873124890916
A2,98.7,98.5472678951404,-0.1527321048596093,0.1527321048596093,0.1547437739205768
A2,94.0,92.81582085928488,-1.1841791407151303,1.1841791407151303,1.2597650433139684
A2,89.4,87.69404984806404,-1.7059501519359657,1.7059501519359657,1.9082216464608115
A2,78.8,77.14400621336422,-1.6559937866357757,1.6559937866357757,2.1015149576596137
A2,71.0,69.99887369306062,-1.0011263069393834,1.0011263069393834,1.4100370520273007
A2,63.4,63.31012207896895,-0.0898779210310536,0.0898779210310536,0.1417632823833653
A2,51.8,53.22981698134807,1.4298169813480683,1.4298169813480683,2.7602644427568888
A2,45.3,47.42466508379698,2.124665083796984,2.124665083796984,4.690209898006588
A2,35.0,37.87878417717307,2.878784177173067,2.878784177173067,8.225097649065907
A7,86.0,83.31207339050366,-2.687926609496344,2.687926609496344,3.1254960575538884
A7,75.4,72.70587782456822,-2.6941221754317866,2.6941221754317866,3.5731063334639073
A7,73.5,70.9179964380723,-2.5820035619277064,2.5820035619277064,3.5129300162281716
A7,39.0,39.94882756101141,0.948827561011413,0.948827561011413,2.432891182080546
A7,27.9,29.126388882559457,1.2263888825594584,1.2263888825594584,4.395659077274044
B8,93.8,93.53732450319076,-0.2626754968092513,0.2626754968092513,0.2800378430802252
